region,civ,date,metric,value,extraction_date
(01) Bas-St-Laurent,52,2026-08-04,patients_sur_civiere,42,2026-08-10
(01) Bas-St-Laurent,52,2026-08-05,patients_sur_civiere,37,2026-08-10
(01) Bas-St-Laurent,52,2026-08-06,patients_sur_civiere,35,2026-08-10
(01) Bas-St-Laurent,52,2026-08-07,patients_sur_civiere,35,2026-08-10
(01) Bas-St-Laurent,52,2026-08-08,patients_sur_civiere,38,2026-08-10
(01) Bas-St-Laurent,52,2026-08-09,patients_sur_civiere,30,2026-08-10
(01) Bas-St-Laurent,52,2026-08-10,patients_sur_civiere,31,2026-08-10
(01) Bas-St-Laurent,52,2026-08-04,patients_24h_plus,4,2026-08-10
(01) Bas-St-Laurent,52,2026-08-05,patients_24h_plus,3,2026-08-10
(01) Bas-St-Laurent,52,2026-08-06,patients_24h_plus,2,2026-08-10
(01) Bas-St-Laurent,52,2026-08-07,patients_24h_plus,1,2026-08-10
(01) Bas-St-Laurent,52,2026-08-08,patients_24h_plus,1,2026-08-10
(01) Bas-St-Laurent,52,2026-08-09,patients_24h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-10,patients_24h_plus,2,2026-08-10
(01) Bas-St-Laurent,52,2026-08-04,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-05,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-06,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-07,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-08,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-09,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-10,patients_48h_plus,0,2026-08-10
(01) Bas-St-Laurent,52,2026-08-04,visites_totales_veille,484,2026-08-10
(01) Bas-St-Laurent,52,2026-08-05,visites_totales_veille,449,2026-08-10
(01) Bas-St-Laurent,52,2026-08-06,visites_totales_veille,418,2026-08-10
(01) Bas-St-Laurent,52,2026-08-07,visites_totales_veille,461,2026-08-10
(01) Bas-St-Laurent,52,2026-08-08,visites_totales_veille,440,2026-08-10
(01) Bas-St-Laurent,52,2026-08-09,visites_totales_veille,387,2026-08-10
(01) Bas-St-Laurent,52,2026-08-10,visites_totales_veille,421,2026-08-10
(01) Bas-St-Laurent,52,2026-08-04,taux_occupation,81,2026-08-10
(01) Bas-St-Laurent,52,2026-08-05,taux_occupation,71,2026-08-10
(01) Bas-St-Laurent,52,2026-08-06,taux_occupation,67,2026-08-10
(01) Bas-St-Laurent,52,2026-08-07,taux_occupation,67,2026-08-10
(01) Bas-St-Laurent,52,2026-08-08,taux_occupation,73,2026-08-10
(01) Bas-St-Laurent,52,2026-08-09,taux_occupation,58,2026-08-10
(01) Bas-St-Laurent,52,2026-08-10,taux_occupation,60,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-04,patients_sur_civiere,68,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-05,patients_sur_civiere,81,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-06,patients_sur_civiere,82,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-07,patients_sur_civiere,87,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-08,patients_sur_civiere,77,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-09,patients_sur_civiere,59,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-10,patients_sur_civiere,71,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-04,patients_24h_plus,3,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-05,patients_24h_plus,5,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-06,patients_24h_plus,1,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-07,patients_24h_plus,5,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-08,patients_24h_plus,4,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-09,patients_24h_plus,2,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-10,patients_24h_plus,4,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-04,patients_48h_plus,1,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-05,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-06,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-07,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-08,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-09,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-10,patients_48h_plus,0,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-04,visites_totales_veille,579,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-05,visites_totales_veille,563,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-06,visites_totales_veille,589,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-07,visites_totales_veille,551,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-08,visites_totales_veille,541,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-09,visites_totales_veille,526,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-10,visites_totales_veille,527,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-04,taux_occupation,65,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-05,taux_occupation,78,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-06,taux_occupation,79,2026-08-10
(02) Saguenay-Lac-Saint-Jean,104,2026-08-07,taux_occupation,84,2026-08-10
