region_code,region_name,installation,civ,date,metric,value,is_region_total,extraction_date
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-20,patients_sur_civiere,3,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-21,patients_sur_civiere,1,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-22,patients_sur_civiere,3,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-23,patients_sur_civiere,5,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-24,patients_sur_civiere,2,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-25,patients_sur_civiere,4,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-26,patients_sur_civiere,3,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-20,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-21,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-22,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-23,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-24,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-25,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-26,patients_24h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-20,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-21,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-22,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-23,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-24,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-25,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-26,patients_48h_plus,0,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-20,visites_totales_veille,50,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-21,visites_totales_veille,53,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-22,visites_totales_veille,44,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-23,visites_totales_veille,68,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-24,visites_totales_veille,53,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-25,visites_totales_veille,44,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-26,visites_totales_veille,36,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-20,taux_occupation,43,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-21,taux_occupation,14,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-22,taux_occupation,43,False,2026-07-26
01,Bas-Saint-Laurent,Hôpital de Matane,7,2026-07-23,taux_occupation,71,False,2026-07-26
