region,civ,date,metric,value,extraction_date
(01) Bas-St-Laurent,52,2026-07-20,patients_sur_civiere,36,2026-07-26
(01) Bas-St-Laurent,52,2026-07-21,patients_sur_civiere,35,2026-07-26
(01) Bas-St-Laurent,52,2026-07-22,patients_sur_civiere,29,2026-07-26
(01) Bas-St-Laurent,52,2026-07-23,patients_sur_civiere,42,2026-07-26
(01) Bas-St-Laurent,52,2026-07-24,patients_sur_civiere,30,2026-07-26
(01) Bas-St-Laurent,52,2026-07-25,patients_sur_civiere,35,2026-07-26
(01) Bas-St-Laurent,52,2026-07-26,patients_sur_civiere,25,2026-07-26
(01) Bas-St-Laurent,52,2026-07-20,patients_24h_plus,4,2026-07-26
(01) Bas-St-Laurent,52,2026-07-21,patients_24h_plus,1,2026-07-26
(01) Bas-St-Laurent,52,2026-07-22,patients_24h_plus,2,2026-07-26
(01) Bas-St-Laurent,52,2026-07-23,patients_24h_plus,2,2026-07-26
(01) Bas-St-Laurent,52,2026-07-24,patients_24h_plus,2,2026-07-26
(01) Bas-St-Laurent,52,2026-07-25,patients_24h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-26,patients_24h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-20,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-21,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-22,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-23,patients_48h_plus,1,2026-07-26
(01) Bas-St-Laurent,52,2026-07-24,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-25,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-26,patients_48h_plus,0,2026-07-26
(01) Bas-St-Laurent,52,2026-07-20,visites_totales_veille,369,2026-07-26
(01) Bas-St-Laurent,52,2026-07-21,visites_totales_veille,420,2026-07-26
(01) Bas-St-Laurent,52,2026-07-22,visites_totales_veille,414,2026-07-26
(01) Bas-St-Laurent,52,2026-07-23,visites_totales_veille,436,2026-07-26
(01) Bas-St-Laurent,52,2026-07-24,visites_totales_veille,410,2026-07-26
(01) Bas-St-Laurent,52,2026-07-25,visites_totales_veille,372,2026-07-26
(01) Bas-St-Laurent,52,2026-07-26,visites_totales_veille,368,2026-07-26
(01) Bas-St-Laurent,52,2026-07-20,taux_occupation,69,2026-07-26
(01) Bas-St-Laurent,52,2026-07-21,taux_occupation,67,2026-07-26
(01) Bas-St-Laurent,52,2026-07-22,taux_occupation,56,2026-07-26
(01) Bas-St-Laurent,52,2026-07-23,taux_occupation,81,2026-07-26
(01) Bas-St-Laurent,52,2026-07-24,taux_occupation,58,2026-07-26
(01) Bas-St-Laurent,52,2026-07-25,taux_occupation,67,2026-07-26
(01) Bas-St-Laurent,52,2026-07-26,taux_occupation,48,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-20,patients_sur_civiere,59,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-21,patients_sur_civiere,57,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-22,patients_sur_civiere,68,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-23,patients_sur_civiere,73,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-24,patients_sur_civiere,55,2026-07-26
(02) Saguenay-Lac-Saint-Jean,104,2026-07-25,patients_sur_civiere,63,2026-07-26
